scannumber,timesweep,status,I0,I1,conversion,treaction,tres
0,,,No,,,,,
1,,,No,,,,,
2,,,No,,,,,
3,,,No,,,,,
4,,,No,,,,,
5,,,No,,,,,
6,,,No,,,,,
7,,,No,,,,,
8,,,No,,,,,
9,,,No,,,,,
10,,,No,,,,,
11,,,No,,,,,
12,,,No,,,,,
13,,,No,,,,,
14,,,No,,,,,
15,,,No,,,,,
16,,,No,,,,,
17,,,No,,,,,
18,,,No,,,,,
19,,,No,,,,,
20,,,No,,,,,
21,,,No,,,,,
22,,,No,,,,,
23,,,No,,,,,
24,,,No,,,,,
25,,,No,,,,,
26,,,No,,,,,
27,,,No,,,,,
28,,,No,,,,,
29,,,No,,,,,
30,,,No,,,,,
31,,,No,,,,,
32,,,No,,,,,
33,,,No,,,,,
34,,,No,,,,,
35,,,No,,,,,
36,,,No,,,,,
37,,,No,,,,,
38,,,No,,,,,
39,,,No,,,,,
40,,,No,,,,,
41,,,No,,,,,
42,,,No,,,,,
43,,,No,,,,,
44,,,No,,,,,
45,,,No,,,,,
46,,,No,,,,,
47,,,No,,,,,
48,,,No,,,,,
49,,,No,,,,,
50,,,No,,,,,
51,,,No,,,,,
52,,,No,,,,,
53,,,No,,,,,
54,,,No,,,,,
55,,,No,,,,,
56,,,No,,,,,
57,,,No,,,,,
58,,,No,,,,,
59,,,No,,,,,
60,,,No,,,,,
61,,,No,,,,,
62,,,No,,,,,
63,,,No,,,,,
64,,,No,,,,,
65,,,No,,,,,
66,,,No,,,,,
67,,,No,,,,,
68,,,No,,,,,
69,,,No,,,,,
70,,,No,,,,,
71,,,No,,,,,
72,,,No,,,,,
73,,,No,,,,,
74,,,No,,,,,
75,,,No,,,,,
76,,,No,,,,,
77,,,No,,,,,
78,,,No,,,,,
79,,,No,,,,,
80,,,Timesweep,,,,,
81,,,Timesweep,,,,,
82,,,Timesweep,,,,,
83,,,Timesweep,,,,,
84,,,Timesweep,,,,,
85,,,Timesweep,,,,,
86,,,Timesweep,,,,,
87,,,Timesweep,,,,,
88,,,Timesweep,,,,,
89,,,Timesweep,,,,,
90,,,Timesweep,,,,,
91,,,Timesweep,,,,,
92,,,Timesweep,,,,,
93,,,Timesweep,,,,,
94,,,Timesweep,,,,,
95,,,Timesweep,,,,,
96,,,Timesweep,,,,,
97,,,Timesweep,,,,,
98,,,Timesweep,,,,,
99,,,Timesweep,,,,,
100,,,Timesweep,,,,,
101,,,Timesweep,,,,,
102,,,Timesweep,,,,,
103,,,Timesweep,,,,,
104,,,Timesweep,,,,,
105,,,Timesweep,,,,,
106,,,Timesweep,,,,,
107,,,Timesweep,,,,,
108,,,Timesweep,,,,,
109,,,Timesweep,,,,,
110,,,Timesweep,,,,,
111,,,Timesweep,,,,,
112,,,Timesweep,,,,,
113,,,Timesweep,,,,,
114,,,Timesweep,,,,,
115,,,Timesweep,,,,,
116,,,Timesweep,,,,,
117,,,Timesweep,,,,,
118,,,Timesweep,,,,,
119,,,Timesweep,,,,,
120,,,Timesweep,,,,,
121,,,Timesweep,,,,,
122,,,Timesweep,,,,,
123,,,Timesweep,,,,,
124,,,Timesweep,,,,,
125,,,Timesweep,,,,,
126,,,Timesweep,,,,,
127,,,Timesweep,,,,,
128,,,Timesweep,,,,,
129,,,Timesweep,,,,,
130,,,Timesweep,,,,,
131,,,Timesweep,,,,,
132,,,Timesweep,,,,,
133,,,Timesweep,,,,,
134,,,Timesweep,,,,,
135,,,Timesweep,,,,,
136,,,Timesweep,,,,,
137,,,Timesweep,,,,,
138,,,Timesweep,,,,,
139,,,Timesweep,,,,,
140,,,Timesweep,,,,,
141,,,Timesweep,,,,,
142,,,Timesweep,,,,,
143,,,Timesweep,,,,,
144,,,Timesweep,,,,,
145,,,Timesweep,,,,,
146,,,Timesweep,,,,,
147,,,Timesweep,,,,,
148,,,Timesweep,,,,,
149,,,Timesweep,,,,,
150,,,Timesweep,,,,,
151,,,No,,,,,
152,,,No,,,,,
153,,,No,,,,,
154,,,No,,,,,
155,,,No,,,,,
156,,,No,,,,,
157,,,No,,,,,
158,,,No,,,,,
159,,,No,,,,,
160,,,No,,,,,
161,,,No,,,,,
162,,,No,,,,,
163,,,No,,,,,
164,,,No,,,,,
165,,,No,,,,,
166,,,No,,,,,
167,,,No,,,,,
168,,,No,,,,,
169,,,No,,,,,
170,,,No,,,,,
171,,,No,,,,,
172,,,No,,,,,
173,,,No,,,,,
174,,,No,,,,,
175,,,No,,,,,
176,,,No,,,,,
177,,,No,,,,,
178,,,No,,,,,
179,,,No,,,,,
180,,,No,,,,,
181,,,No,,,,,
182,,,No,,,,,
183,,,No,,,,,
184,,,No,,,,,
185,,,No,,,,,
186,,,No,,,,,
187,,,No,,,,,
188,,,No,,,,,
189,,,No,,,,,
190,,,No,,,,,
191,,,No,,,,,
192,,,No,,,,,
193,,,No,,,,,
194,,,No,,,,,
195,,,No,,,,,
196,,,No,,,,,
197,,,No,,,,,
198,,,No,,,,,
199,,,No,,,,,
200,,,No,,,,,
201,,,Timesweep,,,,,
202,,,Timesweep,,,,,
203,,,Timesweep,,,,,
204,,,Timesweep,,,,,
205,,,Timesweep,,,,,
206,,,Timesweep,,,,,
207,,,Timesweep,,,,,
208,,,Timesweep,,,,,
209,,,Timesweep,,,,,
210,,,Timesweep,,,,,
211,,,Timesweep,,,,,
212,,,Timesweep,,,,,
213,,,Timesweep,,,,,
214,,,Timesweep,,,,,
215,,,Timesweep,,,,,
216,,,Timesweep,,,,,
217,,,Timesweep,,,,,
218,,,Timesweep,,,,,
219,,,Timesweep,,,,,
220,,,Timesweep,,,,,
221,,,Timesweep,,,,,
222,,,Timesweep,,,,,
223,,,Timesweep,,,,,
224,,,Timesweep,,,,,
225,,,Timesweep,,,,,
226,,,Timesweep,,,,,
227,,,Timesweep,,,,,
228,,,Timesweep,,,,,
229,,,Timesweep,,,,,
230,,,Timesweep,,,,,
231,,,Timesweep,,,,,
232,,,Timesweep,,,,,
233,,,Timesweep,,,,,
234,,,Timesweep,,,,,
235,,,Timesweep,,,,,
236,,,Timesweep,,,,,
237,,,Timesweep,,,,,
238,,,Timesweep,,,,,
239,,,Timesweep,,,,,
240,,,Timesweep,,,,,
241,,,Timesweep,,,,,
242,,,Timesweep,,,,,
243,,,Timesweep,,,,,
244,,,Timesweep,,,,,
245,,,Timesweep,,,,,
246,,,Timesweep,,,,,
247,,,Timesweep,,,,,
248,,,Timesweep,,,,,
249,,,Timesweep,,,,,
250,,,Timesweep,,,,,
251,,,Timesweep,,,,,
252,,,Timesweep,,,,,
253,,,Timesweep,,,,,
254,,,Timesweep,,,,,
255,,,Timesweep,,,,,
256,,,Timesweep,,,,,
257,,,Timesweep,,,,,
258,,,Timesweep,,,,,
259,,,Timesweep,,,,,
260,,,Timesweep,,,,,
261,,,Timesweep,,,,,
262,,,Timesweep,,,,,
263,,,Timesweep,,,,,
264,,,Timesweep,,,,,
265,,,Timesweep,,,,,
266,,,Timesweep,,,,,
267,,,Timesweep,,,,,
268,,,Timesweep,,,,,
269,,,Timesweep,,,,,
270,,,Timesweep,,,,,
271,,,Timesweep,,,,,
272,,,Timesweep,,,,,
273,,,Timesweep,,,,,
274,,,Timesweep,,,,,
275,,,Timesweep,,,,,
276,,,Timesweep,,,,,
277,,,Timesweep,,,,,
278,,,Timesweep,,,,,
279,,,Timesweep,,,,,
280,,,Timesweep,,,,,
281,,,Timesweep,,,,,
282,,,Timesweep,,,,,
283,,,Timesweep,,,,,
284,,,Timesweep,,,,,
285,,,Timesweep,,,,,
286,,,Timesweep,,,,,
287,,,Timesweep,,,,,
288,,,Timesweep,,,,,
289,,,Timesweep,,,,,
290,,,Timesweep,,,,,
291,,,Timesweep,,,,,
292,,,Timesweep,,,,,
293,,,Timesweep,,,,,
294,,,Timesweep,,,,,
295,,,Timesweep,,,,,
296,,,Timesweep,,,,,
297,,,Timesweep,,,,,
298,,,Timesweep,,,,,
299,,,Timesweep,,,,,
300,,,Timesweep,,,,,
301,,,Timesweep,,,,,
302,,,Timesweep,,,,,
303,,,Timesweep,,,,,
304,,,Timesweep,,,,,
305,,,Timesweep,,,,,
306,,,Timesweep,,,,,
